URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/356.smp/ISQEC.xraw
183.1	13905.132813
183.9	13256.203125
184.7	222.797928
185.3	449.187012
186.1	10149.343750
187.3	5434.127441
188.0	7929.265625
188.8	0.069966
189.6	579.738220
190.9	0.398852
192.0	22453.761719
192.6	3383.851074
193.3	2085.863037
194.2	34233.066406
195.0	2465.659912
196.1	1291.078491
196.6	6478.065918
197.5	38.962372
198.3	4982.768066
199.5	1207.631226
200.3	2886.947266
201.2	1073.742920
202.1	618.824402
203.1	0.312278
203.9	6506.552246
205.1	4409.756836
205.9	1730.570435
206.8	399.500763
208.1	26482.001953
209.2	8902.490234
210.3	2860.857178
211.7	6259.459961
213.0	756.293152
213.8	4395.808105
214.5	3111.239502
216.1	2271.190186
217.1	1031.247314
218.1	1469.186768
218.7	0.206417
219.8	1734.349243
220.7	936.732910
221.9	60332.601563
222.6	53294.933594
223.4	38336.011719
224.1	499455.156250
225.4	52481.203125
226.1	57257.042969
227.2	6883.318359
228.0	32081.400391
229.4	4452.166016
230.3	39172.843750
231.3	4257.312988
232.2	1635.000000
233.3	2751.618408
234.4	2722.564209
235.0	0.053836
235.6	0.062570
236.8	3730.317383
237.4	0.573531
238.3	3620.788330
239.0	1083.041626
239.6	0.268884
240.5	315.534790
242.1	3475.255859
242.8	0.235050
243.5	1849.054199
244.3	3850.072998
245.3	101.964981
246.2	12864.899414
246.9	1108.097290
247.5	0.078050
248.0	0.007506
249.0	5528.117188
249.8	531.665710
250.5	2486.401123
251.2	1723.287842
252.3	3282.827637
253.2	62.086338
254.2	3704.583740
255.1	2464.811523
255.6	696.496887
256.6	757.887634
257.5	0.507820
258.3	265.435852
259.3	217.622833
260.1	863.932617
260.9	0.290307
262.0	1506.723022
262.8	331.537933
263.3	0.042928
264.2	5448.998535
265.2	2572.083496
266.1	43126.050781
266.8	4345.033203
267.4	9133.860352
268.2	3362.137695
268.8	0.016356
269.5	0.015485
270.6	3.089112
271.4	14183.520508
272.0	1375.311279
273.0	2594.916016
273.8	633.644836
274.8	0.083195
275.6	1164.847412
276.3	293.852020
277.0	572.945618
278.1	0.000712
278.9	14885.134766
279.4	19080.658203
280.2	3836.010254
281.1	3548.947266
281.7	6.132417
282.5	351.457733
283.2	2794.559326
284.1	605.494629
285.1	1.859853
286.0	0.126918
286.5	0.082695
287.1	6.876987
288.0	4377.104004
289.1	2516.938965
290.2	0.009309
290.9	1423.962769
292.9	4659.026367
293.9	386.876831
294.9	2572.619629
296.0	4746.174316
297.1	4217.126465
297.9	3432.449951
299.2	2209.494141
299.7	0.205577
300.4	1592.198853
