URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/944.smp/ISQEC.xraw
174.0	4148.384766
174.5	3736.926758
175.4	8759.726563
176.1	1916.175415
177.0	7331.163086
178.2	48232.660156
179.1	7664.362305
180.0	3998.321045
181.3	10829.114258
182.2	2551.125244
183.1	8906.824219
184.8	1751.985840
186.0	12236.937500
186.5	1603.807007
188.1	19528.455078
189.1	7306.236328
189.6	3459.666504
190.4	1906.062378
190.9	2570.174561
192.1	25696.271484
192.9	3083.299072
193.6	6591.278809
194.1	35555.382813
195.2	8130.447754
196.2	6369.673828
198.1	4864.923340
198.9	8538.146484
199.6	1312.241821
200.3	9191.796875
201.0	0.657503
202.1	5316.436035
203.0	1385.926270
204.0	6525.269043
205.1	1847.776978
206.6	11814.980469
207.1	8103.207520
207.7	3822.470947
208.4	16977.857422
209.2	3812.474854
210.9	23168.220703
212.1	7431.360352
212.8	2932.801025
213.5	4857.270996
214.2	21329.410156
214.8	994.757446
216.0	14075.338867
217.2	8241.561523
218.0	4726.475586
218.8	1.263717
220.2	1430.809814
221.2	28238.574219
222.1	72480.656250
223.2	26253.460938
224.1	130362.359375
224.9	15624.385742
226.1	27971.519531
227.0	5227.449219
228.1	10736.693359
228.7	11992.706055
229.8	3900.551514
230.5	820.148438
231.4	5618.653320
232.3	3059.123779
233.4	10158.291992
234.0	4098.090332
234.8	1185.382690
235.6	841.299683
236.2	1493.088379
237.3	822.139099
238.8	6714.802246
239.5	829.621826
240.1	1455.881226
241.1	13558.530273
242.1	2610.521484
243.2	9477.480469
244.2	8004.960938
244.8	6762.795410
245.4	5710.260742
246.1	8555.037109
246.8	9227.694336
248.2	4928.592285
249.2	228.327316
249.9	3570.453857
251.2	10038.764648
251.9	5233.786621
253.0	904.044128
253.5	2736.942383
254.5	1082.927368
255.6	10227.621094
256.3	2428.686279
257.3	4311.717773
258.2	3411.044434
259.1	17896.619141
259.8	1752.633789
260.4	2799.028320
261.5	9574.612305
262.2	9569.595703
262.9	3235.386475
264.0	260172.671875
264.6	38351.050781
265.1	44947.402344
266.0	19444.273438
267.2	44066.742188
268.3	7831.732422
269.1	2872.177734
270.7	4902.828613
271.3	3657.931641
272.4	3384.605957
273.4	10676.197266
274.2	8557.040039
274.9	5911.329590
275.5	1008.067383
276.1	2262.163330
277.2	39260.921875
278.1	12042.901367
278.9	329565.125000
279.4	535755.375000
280.3	148401.125000
281.2	25584.994141
282.3	31443.511719
283.3	15547.937500
284.5	6546.288086
285.8	2574.792480
286.3	3395.305176
287.0	10.603907
288.0	78.808815
288.7	5826.793457
289.5	1872.957520
290.3	7483.292969
291.3	7073.279297
292.3	104.298798
293.5	4495.930664
294.2	14932.404297
295.0	4257.689941
295.9	19682.560547
297.2	1254242.250000
298.3	252516.656250
299.2	34235.808594
300.3	5664.725586
301.4	3597.200439
303.0	6805.245605
304.0	549.793457
304.6	6823.118164
305.4	4371.250488
306.6	3165.450684
307.4	9768.542969
308.1	4048.166016
309.4	3208.993652
310.0	11239.982422
311.2	22288.587891
312.2	8573.309570
313.2	8060.162598
314.4	2479.152588
315.4	16538.664063
316.8	11389.126953
317.8	678.587708
319.0	5322.705566
320.2	2308743.750000
321.3	581534.000000
322.3	143464.031250
323.3	24372.869141
324.2	1780.011597
324.9	4585.610352
325.9	11157.878906
326.5	2792.688965
327.3	29262.138672
328.7	15220.780273
329.5	24840.101563
330.3	2434.437500
331.2	4912.868652
332.2	9332.483398
333.5	6895.718262
334.7	789.975952
335.3	21081.750000
336.4	18391.933594
337.2	6928.486816
338.2	320760.750000
339.2	61831.300781
340.3	4578.300781
340.8	2782.727051
341.4	8123.872559
342.2	10406.805664
343.3	6380.958496
344.1	1327.957764
345.1	2219.785645
345.8	10464.827148
346.3	208.202606
347.3	7029.501953
348.2	18110.488281
349.0	10124.190430
349.6	2043.093262
350.5	1178.151001
351.3	15480.181641
352.3	15448.737305
353.0	5005.586426
353.9	17636.283203
354.4	31160.242188
355.4	19357.103516
356.2	5418.788574
357.1	5597.452148
358.3	8929.559570
359.3	312181.437500
360.3	95101.078125
361.3	307013.781250
362.3	92735.554688
363.1	23182.574219
364.0	5556.270996
364.5	55.603752
365.4	3710.752930
366.1	9481.375000
367.1	11486.592773
368.4	6224.592773
369.5	11371.831055
370.3	11761.716797
371.1	5070.471191
371.7	4396.813477
372.3	7359.746094
373.2	10995.948242
374.1	5171.608398
374.6	994.633240
375.5	14434.106445
376.3	2384.697266
377.2	8789.329102
378.1	2135.466309
378.7	3725.833740
379.4	38898.320313
380.2	13470.443359
380.8	5102.966797
381.5	3756.324951
383.0	10658.890625
383.5	7876.631348
384.1	3016.182861
385.0	12247.731445
386.1	811.170898
386.9	2215.579834
388.1	4808.801270
389.3	13834.046875
390.2	2850.640381
391.2	7951.035645
392.3	54420.890625
393.2	18737.738281
394.4	98619.312500
395.4	35052.949219
396.4	9281.664063
397.2	26323.445313
398.0	6036.676270
398.6	1192.205688
399.5	5809.711914
400.3	4710.538086
401.0	18817.015625
401.5	55826.644531
402.3	28975.312500
403.1	10830.587891
404.1	8739.925781
405.0	20402.218750
405.7	12964.630859
406.3	10210.016602
407.2	12254.516602
408.1	5399.645996
409.1	11955.053711
410.1	5051.776855
411.4	23183.246094
412.4	1422.338379
413.3	9442.116211
414.0	5020.198730
415.3	8797.221680
416.2	4440.611328
417.0	8359.106445
418.2	12025.245117
418.8	1468.807983
419.6	3724.403076
420.5	2344.540771
421.3	18194.402344
422.4	19841.621094
423.1	20758.738281
424.1	5574.688477
424.7	3305.746582
425.3	6078.102539
426.3	15750.314453
427.6	15116.263672
428.4	8438.774414
429.3	16451.613281
430.3	19424.742188
430.9	12643.673828
431.6	2421.395020
432.2	6101.293945
433.1	20236.296875
434.1	7380.714844
435.2	17614.404297
436.2	11877.689453
437.1	12765.062500
438.2	15958.688477
439.3	95487.390625
440.3	22120.886719
441.3	15325.918945
441.9	1673.083984
442.7	7046.611816
443.2	15643.008789
444.1	7297.369141
445.1	32065.873047
446.1	7875.542480
447.2	31294.476563
448.0	17456.431641
449.3	13512.027344
450.2	16654.906250
451.2	30378.628906
452.1	16161.192383
453.3	31967.804688
454.3	15929.126953
455.2	17874.111328
456.4	1998.561768
457.1	7599.423340
458.3	4256.942383
458.8	3380.698242
459.4	1427.190552
460.2	8014.886230
461.0	5476.950195
461.8	5811.488770
462.4	20739.820313
463.2	17758.585938
464.0	9194.352539
465.1	22917.000000
466.2	12421.958008
467.2	32360.957031
468.0	14167.991211
469.0	14578.215820
469.6	4829.009277
470.4	10638.063477
471.2	2673.229736
471.8	3208.245361
472.3	3998.175293
473.3	45771.390625
474.3	19312.882813
475.1	26638.462891
475.7	2250.266113
476.4	10701.461914
477.3	14913.022461
478.2	10049.641602
478.9	19261.656250
479.6	6402.193848
480.5	8761.003906
481.5	4869.690918
482.1	1645.144165
483.2	26162.478516
484.2	2739.854248
485.3	7779.765625
486.1	7373.532715
486.6	9399.006836
487.2	10668.552734
488.3	1777.906250
489.3	26974.861328
490.4	3607.500732
491.1	32483.431641
491.8	6756.231934
492.5	6197.853027
493.3	14254.544922
493.9	2773.718506
495.1	7590.439453
495.6	11080.173828
496.4	1997.371948
497.0	3919.749756
498.1	21232.125000
498.9	42803.636719
499.8	32540.398438
501.3	1885138.250000
502.3	681589.437500
503.3	115563.625000
504.3	42204.785156
505.2	20793.382813
505.9	7814.471680
506.9	21611.880859
507.7	17947.482422
508.7	24492.408203
509.4	22546.966797
510.3	21684.654297
511.3	65882.375000
512.3	16554.693359
513.2	10797.363281
514.1	7916.204590
514.9	15657.243164
515.4	5683.473633
516.2	57837.808594
517.2	49782.199219
518.5	13844.391602
519.2	28356.091797
520.6	26826.486328
521.4	48814.054688
522.2	35443.953125
523.6	16648.767578
524.4	10465.021484
525.3	19741.857422
526.2	13901.998047
527.2	16902.533203
528.1	8169.408203
529.2	13729.122070
529.9	4103.506836
530.5	9461.463867
531.2	9902.686523
532.2	18617.431641
532.9	10730.541992
533.5	8264.650391
534.9	27663.687500
536.1	17177.638672
537.2	14818.958984
537.9	11481.444336
538.8	13928.154297
539.4	9182.109375
540.2	5828.707520
540.7	6665.395996
541.3	16145.426758
542.5	10016.752930
543.3	24241.171875
544.2	30099.767578
545.3	96163.195313
546.1	20411.091797
546.6	16710.853516
547.4	19489.023438
548.2	7954.168457
549.2	44515.246094
550.3	18267.687500
551.2	27656.750000
552.0	5296.268555
552.5	5655.912598
553.2	48400.035156
554.0	22413.353516
