URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/118.smp/ISQEC.xraw
175.8	483.680176
176.4	2418.189209
177.3	3300.423584
178.0	6518.901855
178.6	5840.909668
179.3	122.436234
181.0	8346.487305
182.2	4863.120605
182.9	761.322083
183.5	84.000259
184.4	119.541267
185.2	303.962738
186.4	2055.289795
187.4	1377.285400
188.1	2104.963379
188.9	681.786194
190.0	2432.786377
190.7	1277.397461
191.3	0.473858
192.1	11505.704102
194.1	51709.535156
195.3	4014.690674
196.3	599.209473
197.4	0.414759
198.5	402.256226
199.3	3922.777588
199.9	512.947998
200.7	0.065990
201.3	627.159058
201.9	0.008983
203.2	1956.193359
204.1	3338.747314
204.8	0.124275
205.5	0.077501
206.1	846.152466
207.0	4545.539551
208.4	3021.029541
209.0	2885.859863
209.5	140.230011
211.1	1623.710938
212.1	3439.565430
213.0	5735.223633
213.6	2636.581299
214.1	7831.229492
215.1	2733.827881
215.6	1588.371216
216.2	9965.120117
217.4	547.805969
218.0	3828.056152
218.6	0.317277
219.2	407.408234
220.1	0.087860
221.2	2352.419678
221.8	22018.033203
222.3	95289.484375
223.2	8420.296875
224.1	178463.812500
224.7	10345.071289
225.2	44403.585938
226.1	10656.067383
227.1	4482.676270
227.9	1187.689331
228.6	5239.091797
229.3	0.347346
230.0	352.499908
231.2	0.072804
232.3	3529.664307
233.0	380.959442
233.6	5357.770020
234.5	11.969710
235.3	1.985407
236.1	6.821987
237.2	3020.375244
238.0	460.805023
238.9	6.829593
239.7	0.430416
240.5	0.006363
241.4	1357.301880
242.4	845.026550
243.0	224.077240
244.1	1753.241577
245.0	1206.554443
246.8	1116.594360
247.5	12.464323
248.4	0.065795
249.4	0.296626
250.2	919.178406
251.1	204.086304
251.7	0.449534
252.4	628.901001
253.1	2307.006836
254.1	4723.477539
254.8	5082.272461
255.8	3729.643555
256.8	1789.491943
258.1	2883.737305
259.2	1805.476685
259.7	0.132669
260.2	1123.955566
261.0	0.316037
261.8	0.614787
263.1	8090.039551
263.9	4566.485352
265.1	14125.948242
266.0	4934.330078
266.8	1734.844849
267.6	0.320189
268.4	1203.739502
269.3	6569.867188
270.0	125.308762
270.8	3432.781006
272.1	0.628801
272.9	684.216980
273.8	1593.471924
274.4	1816.753174
275.1	1376.398926
275.9	0.246815
277.0	6942.225586
278.3	1123.190063
279.1	9959.634766
280.1	6564.966797
281.6	2820.646484
282.5	466.839478
283.2	1017.838318
283.7	0.244060
284.4	0.017255
285.1	1185.228760
286.0	0.005454
287.0	3244.176025
288.3	4525.485840
289.2	1510.294189
290.1	2841.046143
290.7	1405.827026
291.9	8.844156
293.0	0.460997
293.6	0.115034
294.3	11.941548
295.3	589.488159
296.8	239.785767
297.3	3824.844238
298.4	1849.440308
300.4	952.618225
301.6	2656.645752
302.2	42652.359375
302.9	13500.164063
303.6	1065.072266
304.3	4.755980
305.2	2746.270752
307.2	55935224.000000
308.3	11408699.000000
309.4	844747.750000
310.2	162802.406250
311.3	10094.156250
311.9	0.352683
312.8	125.170769
313.5	4456.736816
314.0	1584.488525
314.6	0.359286
315.3	1498.807617
316.1	3888.272949
316.9	2091.837646
317.5	0.361730
318.3	2506.520996
319.3	2298.309082
320.0	81.435982
321.3	169.191437
322.3	2836.164063
323.6	8462.386719
324.3	1291.698242
325.1	49275.660156
326.2	14846.775391
327.3	3420.881348
328.0	0.003805
328.9	4460.325684
329.5	4718.611328
330.5	0.117840
331.1	410.073975
332.5	2223.513672
333.7	0.039419
334.5	0.343711
335.2	1825.090576
336.2	1078.003540
336.7	0.823294
337.9	450.895355
338.8	3425.614502
339.4	967.924683
340.2	3925.106689
342.3	753.217712
343.2	27304.408203
344.3	7182.793457
345.1	10149.570313
346.0	20553.296875
346.7	4722.191895
348.2	33912560.000000
349.3	8565802.000000
350.4	799352.625000
351.3	82990.218750
352.2	21885.798828
353.3	8.119301
354.3	51657.980469
355.1	9123.354492
355.9	4927.381348
356.4	2775.743896
357.4	664.283325
358.4	0.199854
359.3	2986.184326
360.2	8809.757813
362.0	2408.348389
363.2	5064.273926
363.9	417.694092
364.9	3320.998291
366.0	7552.631836
367.1	2032.009521
368.1	4940.744629
369.2	933.714783
370.2	852817.250000
371.3	178815.281250
372.2	23495.087891
373.2	2447.555176
373.8	0.734651
374.3	5900.913574
374.8	1562.527344
375.4	2438.390381
375.9	0.142074
376.6	1691.814087
377.3	1573.666138
377.9	0.516097
379.2	541.841064
380.3	35.054413
381.0	0.089452
382.3	1403.172241
383.3	4023.720703
384.3	1.065453
386.0	14238.554688
387.1	4493.720215
388.2	2869.870361
389.1	3025.576172
390.3	4577.190918
391.5	2310.886475
392.1	421.159180
392.7	0.337994
393.3	1294.013550
395.3	1916.026367
396.0	7674.706055
396.6	0.462940
397.2	658.433838
398.1	2814.597168
399.2	41.163830
400.1	0.074468
400.9	0.084497
401.4	223.912521
402.0	0.049134
402.9	0.142603
404.0	1803.924927
404.5	762.419739
406.0	3616.867676
407.2	3014.295166
408.1	88.779655
408.9	3429.083740
409.6	0.252266
410.2	1479.216431
411.0	71140.625000
411.9	32012.673828
412.5	13619.772461
413.2	12673.332031
414.3	11247.666016
415.1	2356.504639
416.2	0.239519
417.3	413.977570
418.2	48.581669
419.1	4354.778320
419.7	101.827789
420.9	141.022293
421.5	63.295105
422.5	2543.736328
423.4	119.260689
424.2	0.484433
425.3	3718.636475
